adm0_name,iso3,X,Y,published,sources,info,optional1,optional2,optional3,ObjectId
Bermuda,BMU,-64.785473,32.279828,24.07.2020,"[https://www.gov.uk/foreign-travel-advice/bermuda]
[https://bm.usconsulate.gov/covid-19-information/]
[https://www.osac.gov/Content/Report/1fd054d8-5eee-43e4-a552-1858030bd227]","*****International restrictions: 
Due to the Covid-19 outbreak, all visitors from a country classified by the WHO as having community transmission of Covid-19 will need to apply for Travel Authorisation and are required to have a pre-departure test. This applies to adults and children aged 10 and up. Those without a negative pre-departure test will not be able to obtain Travel Authorisation. All travellers must wear face masks when travelling to the departure airport and practice social distancing at the departure airport. Upon arrival, visitors must, show a copy of your Travel Authorisation and present a copy of the pre-departure PCR Covid-19 negative test result to health officers on request. All travellers will undergo PCR Covid-19 testing at the Bermuda L.F. Wade International Airport. It’s important that travellers adhere to the Covid-19 guidance and quarantine in their accommodation until airport tests results are ready. Failure to adhere to guidelines could result in a fine of up to $25,000 and/or up to six month’ imprisonment. You should check the Bermuda Government website for more information and to apply for Bermuda Travel Authorisation.untry classified by the WHO as having community transmission of Covid-19 will need to apply for Travel Authorisation and are required to have a pre-departure test. This applies to adults and children aged 10 and up. Those without a negative pre-departure test will not be able to obtain Travel Authorisation [https://www.gov.bm/coronavirus-news].

*****Internal restrictions:
The curfew has been lifted as of 20 July. Premises with a license to sell alcohol must close at midnight. This will be reviewed on a weekly basis. Full public transport has resumed. Fifty people are allowed at public gatherings. Non-resident visitors to Bermuda should follow local advice and guidance. You should check the Bermuda Government website [https://www.gov.bm/coronavirus-news] for more information on what to do before travelling to Bermuda. Resorts, hotels and cottages reopened at the beginning of July 2020. ",20200724,"The Quarantine Authority (Minister of Health) of Bermuda, as per paragraph 6 of the Quarantine (COVID-19) (No.3) Order requires visitors to have a negative pre-departure test result to travel to Bermuda, taken no more than 5 days before departure. As of 11 July 2020 visitors without a negative pre-departure test result cannot obtain Travel Authorisation. This applies to all visitors who have been in a country classified by the WHO as having community transmission of COVID-19 (this includes the US, UK and Canada). Residents who do not wish to test when on the island, will quarantine in their room for 14 days. If at 14 days they wish to be tested and it is negative, they will no longer be quarantined. If on day 14 they do not wish to be tested, they will quarantine in their room for another 14 days","COVID-19 negative certification required.  

Upon arrival, visitors must, show a copy of Travel Authorisation and present a copy of the pre-departure PCR Covid-19 negative test result to health officers on request. This applies to adults and children aged 10 and up. Those without a negative pre-departure test will not be able to obtain Travel Authorisation. All travellers will undergo PCR Covid-19 testing at the Bermuda L.F. Wade International Airport.",178
Bhutan,BTN,90.427775,27.395175,26.06.2020,"[[https://www.osac.gov/Content/Report/7e3b2c4b-8089-4494-95c1-184ed67e2f03]
[[https://www.gov.uk/foreign-travel-advice/bhutan]
[https://in.usembassy.gov/covid-19-information/]","*****Intrnational Restrictions
Borders are closed. All visitors (except nationals of Bangladesh, India and the Maldives) must obtain visa clearance from Thimphu before coming to Bhutan. Foreigners, with the exception of citizens from India, Bangladesh and the Maldives nationals, may only enter or depart the country through certain towns such as Phuntsoling, Samdrup Jongkhar and Gelephug (by road) or Paro (by air). 

*****Internal Restrictions
Bhutan has put measures in place to limit the spread of coronavirus (COVID-19). Travel outside of Thimphu, Paro, and Punakha remain limited. Press Release of 27 March from the Office of the Prime Minister obliges compliance with preventative social distancing measures.",20200626,"All travellers, including Bhutanese nationals, who are able to enter the country are subject to mandatory quarantine in a facility for 21 days.","COVID-19 negative certification not required / not known. 

Thermal screening on arrival.",179
Bi'r Tawīl,"SDN, EGY",33.687997,21.888666,,,,,,,180
Bird Island,VEN,-63.617377,15.668231,,,,,,,181
Bolivia,BOL,-64.662243,-16.712734,24.07.2020,"[https://www.gov.uk/foreign-travel-advice/bolivia]
[https://bo.usembassy.gov/covid-19-information/]","The authorities have extended the national quarantine until 31 July. (OSAC, 16.07.2020). 

*****International restrictions:
All international flights to and from Bolivia are suspended and all land border crossings closed. As of March 26, non-Bolivian citizens are prohibited from entering Bolivia. Entrance procedures and screening for COVID-19 have been increased and are conducted at all international airports. Travelers should be prepared for additional travel restrictions affecting international travel to be put into effect with little or no advanced notice. Patients presenting symptoms of COVID-19 or who may have been exposed to the virus are
isolated and tested.

*****Internal Restrictions:
All public gatherings are prohibited. A curfew applies Monday to Friday between 6pm and 5am. At weekends, you may go outside on foot between 6am and 2pm, up to 500m from your residence. Vehicles may not be used at weekends. Schools are remain closed. In public places you must maintain 1.5m distance from other people and use facemasks, including outside. 
In La Paz department (including the city of La Paz) from 23 June, weekday movement is controlled according to the last digit of citizens’ ID cards or passports, with even (“par”) numbers not allowed outside on the same day as odd (“impar”) numbers. Weekend movement in La Paz department is also currently prohibited, in addition to the national restrictions above.
You will not be allowed outside unless travelling in a medical emergency or to catch a humanitarian repatriation flight. Penalties for breaching these conditions include fines, public service and imprisonment.
Local authorities may impose further restrictions, including on the movement of people under 12 and over 65 years old, and weekend movement, depending on the risk level of the town or city as assessed by the Bolivian government. Risks levels may be high (“alto”), medium (“medio”) or moderate (“moderado”) and can be found on this Bolivian Government website [https://www.boliviasegura.gob.bo/].

",20200724,Patients presenting symptoms of COVID-19 or who may have been exposed to the virus are isolated and tested.,"COVID-19 negative certification not required / not known. 

 Enhanced surveillance and detection capabilities in main airports including Santa Cruz, Cochabamba and La Paz airport. ",182
Bonaire,BES,-68.308064,12.226704,26.06.2020,"[https://english.rijksdienstcn.com/covid-19/latest-qas/travel-advice]
[https://cw.usconsulate.gov/news-events/covid-19-information/]
[https://www.gov.uk/foreign-travel-advice/bonaire-st-eustatius-saba]","*****Inbound restrictions:
Effective Tuesday, March 17, 2020 Bonaire limited entry to Bonaire to all travelers, except for legal residents of Bonaire.
Bonaire has announced some limited relaxations of those travel restrictions for travelers that can present a negative COVID-19 test and proof of health insurance that covers the traveler overseas: Flights to and from Curacao resumed on June 12, 2020. Flights to and from Aruba resumed on June 15, 2020. Flights to and from Europe resumed on July 1, 2020.  Effective March 16, 2020 Saba limited entry to Saba to all travelers except for legal residents of Saba.
Saba has announced some limited relaxations of those travel restrictions: Effective July 10, passengers from Bonaire, Curacao, Sint Eustatius can travel to Saba without quarantine requirements and can transit via Sint Maarten Effective July 10, passengers from Sint Maarten can travel to Saba without quarantine for essential travel and work only. Effective July 10, passengers from Europe can travel to Saba only for repatriation of residents, essential workers, medical travelers, and medical students and will be subject to quarantine upon arrival. Effective July 10, passengers from the United States (and other countries in North and South America) can travel to Saba only for repatriation of residents, essential workers, medical travelers, and medical students and will be subject COVID-19 testing prior to arrival and additional quarantine upon arrival.

*****Outbound restrictions:
There are currently no known restrictions on individuals seeking to depart the country. 

*****Internal restrictions: 
All residents and visitors to the island must adhere to social distancing and hygiene measures. ",20200626,Residents of Bonaire and Saba will be allowed entry but will be required to self-quarantine for 14 days upon their return. ,COVID-19 negative certification required for entering the country,183
Bosnia and Herzegovina,BIH,17.785036,44.168219,19.07.2020,"[https://www.osac.gov/Content/Report/e70c4ff6-e856-4717-aaa5-18e9a1c9976d]
]https://www.gov.uk/foreign-travel-advice/bosnia-and-herzegovina]
[https://ba.usembassy.gov/covid-19-information/]","*****International restrictions:
Commercial flights are operating to and from Bosnia and Herzegovina. Check with your travel company for the latest information.A number of restrictions are in place at border crossing points into and out of Bosnia and Herzegovina. The Border Police of Bosnia and Herzegovina [http://www.granpol.gov.ba/?lang=en] are publishing regular updates. Countries neighbouring Bosnia and Herzegovina have also introduced restrictions. 

*****Internal restrictions:
The Bosnian Ministry of Foreign Affairs is no longer extending stays for foreign nationals and has begun to issue fines for non-residents who have remained in BiH for more than the 90-day limit. If your stay was extended due to COVID-19 you will be expected to leave the country as soon as possible.The authorities in Bosnia and Herzegovina are enforcing public health measures more strictly in response to a rise in coronavirus infections. Mask wearing and social distancing are required in public transport, as well as public places. Failure to observe public health measures can result in fines (see Protective clothing below). You should follow the advice of all levels of authority as restrictions may be introduced without notice.Shops and restaurants are largely open although may be operating reduced hours and with social distancing restrictions. Most educational institutions remain closed across the country. Further changes could be introduced at short notice. Keep up to date with information from your tour operator, transport or accommodation provider on the impact on any existing travel plans.",20200719,BiH abolished self-isolation measures for those permitted entry. ,COVID-19 negative certification subject to certain conditions.,184
Botswana,BWA,23.813802,-22.188101,14.07.2020,"[https://www.osac.gov/Content/Report/291d48ea-be4d-4f25-b5b5-18f1a52770b4]
[https://www.gov.uk/foreign-travel-advice/botswana]
[https://bw.usembassy.gov/covid-19-information/]","Gaborone lockdown lifted on 16 June (OASC, 16.06.2020)

*****International restrictions:
There are no commercial flights in to or out of Botswana. The Botswana authorities have also closed land border posts with neighbouring countries. Entry to Botswana is open only to Botswana nationals and foreign nationals with valid residency visas. Returning residents will be subject to a 14-day mandatory quarantine period in government facilities at their own expense and compulsory COVID-19 testing.

*****Internal restrictions:
Air Botswana has suspended internal flights.The government of Botswana declared a State of Public Emergency on 31 March, which has since been extended until 30 September. The majority of shops, banks and restaurants continue to operate, with precautionary measures in place including legislation that makes it compulsory to wear face coverings in public places, businesses and common areas of residential buildings. You are also required to have your temperature taken and to give your name and contact details when entering businesses, offices and schools.",20200714,Returning residents will be subject to a 14-day mandatory quarantine period in government facilities at their own expense and compulsory COVID-19 testing.,COVID-19 negative certification not required / not known,185
Bouvet Island,BVT,3.363476,-54.421105,,,,,,,186
Brazil,BRA,-53.089656,-10.772064,10.07.2020,"[[https://www.gov.uk/foreign-travel-advice/brazil]
[https://br.usembassy.gov/covid-19-information/]
[https://www.saopaulo.sp.gov.br/coronavirus/]","*****International restrictions: 
There are a number of scheduled flights to Europe and the US, but capacity is limited.Passengers are allowed to transit as long as they do not leave the international airport area and have a ticket for onward travel.
Foreign passengers are currently prohibited from entering Brazil. There are some exceptions, including: foreigners resident in Brazil; foreign spouses, children, parents or guardians of a Brazilian national; passengers in international transit as long as they do not leave international airport area; airline crews. Other exceptions may apply. Brazil has closed its land borders, except to Brazilian citizens and resident foreign nationals. The Brazilian government has also imposed a ban on foreigners disembarking in any port or other maritime location on Brazilian territory regardless of their nationality. The restriction does not apply to resident foreigners and foreign spouses, children, parents or custodians of a Brazilian national. Disembarking will only be permitted when medical assistance is required or to catch a connecting flight back to the country of residence.

 *****Internal restrictions:
Restrictions vary from city to city. The use of face masks in public, including on public transport and in taxis and in shops (where open) is now compulsory in various cities including São Paulo, Rio de Janeiro, Belo Horizonte and Brasília. Localised lockdowns continue to varying degrees. You should refer to official guidance in your location for details of what preventative measures are in place and how you can comply with them. Failing to comply with these rules may result in a fine.
Some accommodation options remain open such as hotels, hostels and private rentals but this varies area by area. Some popular beach areas remain closed to non-residents. 
Set out any local regulations on shops, restaurants, bars, beaches, other leisure activities, large gatherings, particularly focused on actions BNs will need to take and steps that local authorities may take e.g. closing beaches
The situation varies around Brazil with many non-essential services that were closed (i.e. restaurants, shops and bars) now starting to reopen. Tourist attractions, cinemas and theatres many remain closed and in Rio de Janeiro access to the beach is restricted to exercise only. In practice this means that you can now go to the beach, but that the barracas which rent out umbrellas and chairs are not operating.",20200710,No explicit reference made to quarantine measures at federal level. Several state and local governments across Brazil have issued decrees that restrict the movement of people to combat the spread of COVID-19.,"COVID-19 negative certification required for entering the country. 

Travellers must present a medical declaration that shows they have not tested positive for COVID-19 from a doctor or health authority.  ",187
British Virgin Islands,VGB,-64.59433,18.430285,21.07.2020,"[https://www.gov.uk/foreign-travel-advice/british-virgin-islands]
[https://bb.usembassy.gov/covid-19-information/]","*****International restrictions:
Commercial flights to and from the British Virgin Islands remain very limited. Borders are open only to returning British Virgin Islanders, Belongers, Permanent Residents, naturalised citizens, as well as for freight and cargo vessels. All returning British Virgin Islanders, Belongers, Permanent Residents and naturalised citizens arriving in the BVI must be pre-approved to return to the Territory and will need to quarantine for 14 days in pre-approved accommodation where they will be monitored by security to ensure that there is no mingling with members of the public until their quarantine period has expired and they are tested negative for the virus. To facilitate this process, anyone interested in returning to the BVI is required to register through an online portal [https://bvi.gov.vg/controlled-re-entry-british-virgin-islands].

*****Internal restrictions: 
All residents and visitors on Jost van Dyke must remain at home under quarantine for a period of seven (7) days beginning on 21 July 2020 and ending at 5:01 am on 28 July 2020. No person or vessel is permitted to travel to or from Jost van Dyke without permission. A daily curfew is in place elsewhere in the Territory from midnight to 5am. Further information on BVI restrictions can be found at the website of the Government of the Virgin Islands, including detailed information on continued school closures and restrictions in place, both within the Territory and in BVI’s territorial waters. Further information on BVI restrictions can be found at the website of the Government of the Virgin Islands [https://bvi.gov.vg/covid-19], including detailed information on continued school closures and restrictions in place, both within the Territory and in BVI’s territorial waters. When moving around the BVI, you should wear a face covering in all public settings. Some premises will only allow entry if you are wearing a face mask.
",20200721,"All passengers arriving in the BVI must be pre-approved to return to the Territory and will need to quarantine for 14 days in pre-approved accommodation where they will be monitored by security to ensure that there is no mingling with members of the public until their quarantine period has expired and they are tested negative for the virus. To facilitate this process, anyone interested in returning to the BVI is required to register through an online portal accessible here (https://bvi.gov.vg/controlled-re-entry-british-virgin-islands)",COVID-19 negative certification required,188
Brunei Darussalam,BRN,114.628856,4.49737,02.07.2020,"[https://www.gov.uk/foreign-travel-advice/brunei]
[https://bn.usembassy.gov/u-s-citizen-services-covid-19-information/]","*****International Resrictions:
Royal Brunei Airlines have resumed flights to a limited number of countries.
Brunei has introduced an exit travel ban, including for permanent residents, and expatriate workers (green identity card holders), and their dependents. Exceptions will be considered by the Prime Minister’s Office on a case by case basis, through email applications to [travelapplication@jpm.gov.bn] giving 14 days’ notice of the intention to travel, and setting out reasons why they need to leave the country. 
Entry to Brunei is severely restricted. It is not yet clear which exceptional circumstances, if any, foreign nationals may be permitted to enter Brunei. If the Government of Brunei permits you entry, you will be required to go into quarantine on arrival at a government booked facility (usually a local hotel). On 16 April, the Minister of Health announced that all foreigners will have to pay $1,000 BND for a COVID-19 test upon arrival, and would need to cover the cost of their stay in a quarantine facility (14 days from the date of arrival). Quarantine charges can vary, depending on the quarantine facility you are placed in. On arrival in Brunei, you will be encouraged to download the BruHealth app. Failure to use the app may result in you not being able to access a number of day-to-day facilities.
Brunei has also introduced an exit travel ban, including for permanent residents, and expatriate workers (green identity card holders), and their dependents. Exceptions will be considered by the Prime Minister’s Office on a case-by-case basis, through email applications to travelapplication@jpm.gov.bn giving 14 days’ notice of the intention to travel, and setting out reasons why they need to leave the country. Full details are available on the Prime Minister’s Office website [http://www.pmo.gov.bn/Theme/Home.aspx].

*****Internal restrictions:
As part of Brunei’s approach to contain the spread of the virus, mosques and other places of worship have been closed, restaurants and cafes are only open for take-away and public gatherings have been discouraged. Travelllers should check the Brunei Ministry of Health [http://www.moh.gov.bn/SitePages/COVID-19.aspx] for up to date guidance, policy on travel to/from Brunei and details on how to download and use the BruHealth app [http://www.moh.gov.bn/SitePages/bruhealth.aspx]",20200702,"The government requires all passengers arriving in Brunei through Brunei International Airport to undergo immediate isolation for 14 days at a designated monitoring center, as well as a COVID-19 test.  Foreign citizens arriving in Brunei must pay the cost of the quarantine accommodation and the test.","COVID-19 negative certification not required / not known. 

Passengers  are subject to COVID-19 testing that has a cost of BND 1000. ",189
Bulgaria,BGR,25.237625,42.757311,16.07.2020,"[https://www.osac.gov/Content/Report/3d8bc487-eedc-4b7a-bf2d-18d3b92cb327]
[https://www.gov.uk/foreign-travel-advice/bulgaria]
[https://bg.usembassy.gov/novel-coronavirus-covid-19-information/]
[[https://reopen.europa.eu/en]","*****International restrictions:
From EU: No limitations for tourists, coming from Austria, Belgium, Croatia, Cyprus, Czechia, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Ireland, Italy, Latvia, Lithuania, Luxembourg, Malta, the Netherlands, Poland, Romania, Slovakia, Slovenia, Spain, plus Iceland, Norway, Liechtenstein, Switzerland, Andorra, Monaco, San Marino and Vaticana City. Tourists, coming from Portugal and Sweden, as well as from the United Kingdom, are subject to 14 days of quarantine. The country, from which the person arrives, is the country of origin of his/her departure, regardless of his/her stay or transit through other countries during his/her movement. Tourists not subject to quarantine must submit to health inspectors at the border a declaration regarding observation of the Ministry of Health’s anti-epidemic measures and acknowledgement of the risks of COVID-19.
Transit: Transit through Bulgaria to the country of residence is allowed for: (a) nationals of the EU, a Schengen country, or the UK and their family members; (b) non-EU nationals, who have a long-term residence permit in another EU Member State, the UK, or in a Schengen country and their family members. Nationals of Albania, Kosovo, Bosnia and Herzegovina, Montenegro, Serbia, North Macedonia and Turkey can transit to return to the country of which they are nationals. Transit is only permitted when the traveler will immediately leave Bulgaria. Persons who are allowed to transit must submit to health inspectors at the border a declaration, regarding observation of the Ministry of Health’s anti-epidemic measures and acknowledgement of the risks of COVID-19.
From third countries: Not allowed, except for those coming from Andorra, Monaco, San Marino, Vatican City, Serbia, Bosnia and Herzegovina, and Montenegro.
As from 1 July, EU Member States should start lifting the restrictions on non-essential travel into the EU for residents of the following third countries: Algeria, Australia, Canada, Georgia, Japan, Montenegro, Morocco, New Zealand, Rwanda, Serbia, South Korea, Thailand, Tunisia, Uruguay, China, subject to confirmation of reciprocity. Residents of Andorra, Monaco, San Marino and the Vatican/Holy See should be considered as EU residents for this purpose. Every two weeks this list of countries will be reviewed and the information updated here. More info: [https://data.consilium.europa.eu/doc/document/ST-9208-2020-INIT/en/pdf]

*****Internal restrictions:
Travel to/from airport or other port of arrival
On 6 May 2020 the Bulgarian authorities lifted the restrictions on travel between cities. There are no longer any police check points and it is not necessary to present a declaration giving the reason(s) for travelling between cities or to the airport. Restrictions apply at many European land borders, including with Bulgaria, which affect road and rail travel. You should check the travel advice for any countries through which you are considering travel before you depart.The State of Emergency in Bulgaria ended on 13 May 2020, but an Emergency Epidemic situation has been declared until 31 July 2020. Therefore coronavirus measures and restrictions remain in force. The police are strictly enforcing measures and failure to comply could result in a 300 to 1,000 lev (£135-£450) fine.
Wearing a face mask is mandatory in all indoor public spaces, with the exception of customers in dining and drinking establishments. Restaurants, cafes, bars, clubs, theatres, concerts, conferences, exhibitions, creative arts events and classes can operate with restrictions on capacity and subject to social distancing. Indoor and outdoor gatherings of more than 30 people are prohibited. Sports activities are permitted indoors and outdoors including swimming pools.",20200716,"All persons (with limited exceptions) arriving in Bulgaria from Sweden and Portugal, and from all third countries (outside the European Union), except Andorra, Algeria, Australia, Bosnia and Herzegovina, Canada, Georgia, Iceland, Japan, Lichtenstein, Monaco, Montenegro, Morocco, New Zealand, Norway, the Republic of Korea, Rwanda, San Marino, Serbia, Switzerland, Thailand, Tunisia, Ukraine, the UK, Uruguay, and Vatican City, must either present a negative result from a polymerase chain reaction (PCR) COVID test performed up to 72 hours before entering Bulgaria or must quarantine for a period of 14 days at the traveler’s place of accommodation.  Please note that the country from which a traveler arrives is the place where travel originated.Exceptions to the quarantine requirement include bus and truck drivers in the carriage of international goods or people, Bulgarian citizen ship crew members, medical professionals and those supplying medical products, foreign officials and diplomats, and frontier workers.The main quarantine location for positively diagnosed and admitted patients is the Military Medical Academy in Sofia.  Asymptomatic and mildly symptomatic patients should quarantine at home. Persons not subject to quarantine or who are allowed to transit through the territory of Bulgaria under this order must submit to health inspectors at the border a declaration (https://www.mh.government.bg/media/filer_public/2020/05/29/1590767300004document.pdf), regarding observation of the Ministry of Health’s anti-epidemic measures and acknowledgement of the risks of COVID-19.",COVID-19 negative certification not required / not known,190
Burkina Faso,BFA,-1.735501,12.273481,17.07.2020,"[https://www.gov.uk/foreign-travel-advice/burkina-faso]
[https://bf.usembassy.gov/u-s-citizen-services/covid-19-information/] 
[https://www.osac.gov/Content/Report/9d60a68b-f341-4a73-b79c-18d72fd52348]","*****International restrictions: 
Bobo Dioulasso (BOY) and Ouagadougou (OUA) airports are closed, this does not apply to humanitarian, medevac and repatriation fights. All land borders are closed, except for freight traffic. Internal flights and military flights will proceed. Public health requirements for humanitarian flighs [https://humanitarianbooking.wfp.org/en/wfp-aviation/]

*****Internal restrictions:
As of 3 June 2020, the Government of Burkina Faso canceled the curfew which was in effect throughout the country, except for the provinces that are under state of emergency (the East and Sahel regions, the provinces of Kossi and Sourou in Boucle de Mouhoun, the province of Kenedougou in Hauts Bassins, the province of Louroum in the North, and the province of Koulpelogo in the Center-East region). Wearing face masks in public places is mandatory.

",20200717,"Passengers are subject to  mandatory 14 days quarantine at a designated accommodation selected by their organisation and approved by Ministry of Health. Stay at the hotel will be at their own cost. During self-isolation, passengers have to respect all enacted COVID-19 measures and do daily required medical checks. Passengers shall be tested again at day 8 and day 14.  Before they are allowed out of confinement, they have to present all three COVID-19 free tests and daily medical surveillance. If one of the results is positive, passenger will be transferred to the dedicated government care center.
","COVID-19 negative certification required for entering the country.

Upon arrival, all passengers must submit a signed confinement commitment form to the health officer. All passengers shall be tested upon arrival, unless they are able to present a test certificate, no older than 72 hours, stating they are COVID-19 free. The presentation of negative test does not exclude confinement. ",191
Burundi,BDI,29.890813,-3.366382,16.07.2020,"[https://www.gov.uk/foreign-travel-advice/burundi/entry-requirements]
[https://bi.usembassy.gov/embassy/]","Burundi has suspended all international flights from March 22, 2020.

*****International restrictions:
Flights into and out of Bujumbura International Airport are suspended except for  humitarian and cargo flights. Commercial flights to and from Burundi remain very limited.
Land borders are also closed. 
Passengers are screened at the airport for elevated temperature and asked to complete a health form that includes questions about travel in the last three weeks. There is no exit screening at this time; messages displayed at the entrance of the check-in terminal remind passengers exiting the country to follow basic hygiene rules in order to prevent the spread of the disease.

*****Internal Resrictions
On Wednesday, April 1, the Ministry of Public Health published a press release calling on the public to: Wash hands with clean water and soap or chlorinated water; Avoid greeting each other by shaking hands or kissing; Cough or sneeze into your sleeve or use a tissue that should be thrown away immediately in a closed bin, then wash your hands. Self-quarantine at home if you have been in contact with a positive case yet do not show any symptoms of COVID-19; Call the toll-free number 117 or consult the nearest health facility if displaying COVID-19 symptoms.
Accommodation remains open but measures may be in place on a case by case basis.
",20200716,All inbound travellers will be quarantined for 14 days upon arrival in a Government of Burundi facility.. The government confirmed that the cost of quarantine will be charged to the travellers. ,COVID-19 negative certification not required / not known,192
Cambodia,KHM,104.922836,12.711638,13.07.2020,"[https://www.gov.uk/foreign-travel-advice/cambodia]
[https://kh.usembassy.gov/covid-19-information/]
[https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening]","*****International restrictions:
There are currently international flight options to/ from Cambodia.
If you wish to enter Cambodia you will need to: get a visa before arrival — the visa exemption policy, visa on arrival and e-visa arrangements are suspended indefinitely, get a medical certificate, no longer than 72 hours prior to the date of travel, from a competent health authority stating you do not have COVID-19
have proof of insurance that includes a minimum of US$50,000 for medical cover, The government is now imposing charges on foreign arrivals for lab testing, medical treatment and accommodation under health measures to prevent a second wave of COVID-19 transmission in Cambodia. All foreign passengers are required to deposit US$3000 for the COVID-19 service charges at the airport upon their arrival. Once deductions for services have been made, the remainder of the deposit will be returned. This can be paid either by cash or credit card. The service fees are listed as below: US$5 for transport from the airport to waiting centre, US$100 for one COVID-19 test, US$30 for overnight stay at hotel or waiting centre and US$30 for 3 meals a day while waiting for test result. If one passenger tests positive for COVID-19, all those on the same flight will be quarantined for 14 days. Each passenger will have to pay US$100 for a COVID-19 test and US$84 a day to pay for the stay in a hotel or quarantine facility, (the charge includes meals, laundry, sanitary services, doctors and security services). For a COVID-19 positive patient, they will be charged US$100 per COVID-19 test (maximum four tests), and US$225 a day for hospital room, medical treatment service, meals, laundry and sanitary services. In addition, in case of death the cremation service charge is US$1,500. If issuance of a COVID-19 health certificate is required, for example for future travel, foreign nationals will need to pay US$100 for a lab test and US$30 for the certificate.
It is currently not possible to enter or depart Cambodia through land borders as the Cambodia-Laos, Cambodia-Thailand and Cambodia-Vietnam land borders are closed.
All foreigners arriving in Cambodia will now be subject to a COVID-19 test on arrival (as well as requiring a Covid negative test before flying). You will be required to remain at a government facility until the results are known, which may include an overnight stay.

*****Internal restrictions:
There are no travel restrictions within Cambodia and you can travel to the airport either from within Phnom Penh or from the provinces. You are expected to wear a face covering when inside the airport and many airlines will ask for face coverings to be worn. While no penalties are currently being imposed by the Cambodian authorities for refusing to wear a face covering, our advice is to wear a face covering whenever requested to. Hotel and private rental accommodation is available throughout Cambodia. Some hotels have closed and remain so, and we advise that you contact hotels directly when booking. The majority of hotels will ask to take your temperature on arrival and ask you to complete a declaration in relation to your recent travel history and whether you have any symptoms related to COVID-19. Some services and facilities in hotels may not be available e.g. leisure facilities. A large number of shops, restaurants and bars are now open but nightclubs remain closed. Public beaches remain open. Leisure facilities such as gyms are closed and the Cambodian authorities have asked that large scale events such as weddings be postponed.",20200713,"If you test positive, you will be required to quarantine for 14 days at a facility designated by the Cambodia government. This may be at a hotel (at your own expense) or at a Government facility. The conditions at government facilities are very basic and we cannot guarantee that families will be kept together. If you test negative, you will be required to quarantine for 14 days at your own accommodation. You will be expected to comply with these requirements regardless of any existing medical needs you may have. If you are not able to submit to these requirements, you should think carefully about whether to travel to Cambodia at this time.

Anyone testing positive for COVID-19 will be admitted to the Khmer-Soviet Friendship Hospital for monitoring and treatment.","COVID-19 negative certification required for entering the country. 

All foreigners must: 1. Have a medical certificate, issued by competent health authorities of their country no more than 72 hours prior to the date of travel, certifying that they are not tested; positive for the Coronavirus (COVID - 19) and 2. have proof proof of insurance policy with minimum medical coverage of 50,000 US dollars. 3. Passengers upon arrival will be subject to a health risk assessment and screened by the government.
",193
Cameroon,CMR,12.751782,5.69612,16.07.2020,"[https://www.gov.uk/foreign-travel-advice/cameroon]
[https://www.osac.gov/Content/Browse/Report?subContentTypes=Alerts%2CTravel%20Advisories]
[https://cm.usembassy.gov/health-alert-u-s-embassy-yaounde/]","Ethiopian Airlines resumes flights to Cameroon from 13 July; face masks mandatory to prevent COVID-19 spread (Aviation24.be, 11.07.2020)


*****Internations Restrictions:
UNLP holders are now required to obtain a visa from the Embassy of Cameroon before travelling (WFP, 17.07.2020)  There are now some commercial flight options to leave Cameroon, however most international flights are still suspended. Access across Cameroon’s land and sea borders is currently tightly restricted. 
UNHAS flights recommenced 24 April 2020.
Air passengers who do enter the country through charter or other government-approved flights will undergo a rapid test for COVID-19 at the airport. If positive, they will be required to be in isolation at home or in a government facility at their own expense depending on their symptoms. If negative, they are required to self-quarantine at home for 14 days. All land and maritime borders have been closed. Restrictions do not apply for cargo and to Cameroon nationals wishing to go back home.

Public health requirements for humanitarian flighs [https://humanitarianbooking.wfp.org/en/wfp-aviation/]

*****Internal restrictions: 
Travel within the country should be limited to essential travel only. The authorities have banned public transport (taxis, buses, motorbikes) from taking more passengers than they have seats.
You must wear a mask or face covering and gloves to be allowed to enter any airport in Cameroon. Accommodation is generally open at the current time. Gatherings of over 50 people are prohibited. Restrictions on bars, restaurants and entertainment spots have been lifted.
Visits to public institutions, including government buildings, have been limited.
Additional measures include the requirement to wear face masks in public spaces and a systematic sanctioning of those people found to have breached restriction and confinement measures imposed on them.
Schools and other educational establishments have partly reopened. International schools have indicated that they plan to reopen in September.",20200716,"All new arrivals in country are expected to self-isolate at one location for 14 days. Anyone that has developed symptoms of Coronavirus on their travel will quarantine at a government-monitored hotel.
","COVID-19 negative is certification required. 

Proof of a recent (no older than three days prior to first embarkation) negative Covid-19 test must be provided to enter at Yaoundé or Douala Airports.",194
